time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.853,-14.36997933,2.873392581,-9.818932652,1.023110816,1.048309795,-0.328667096,37.362703,5.140373972,-2.986341835,4.663486273,0.08139319,-25.66354209,2.4901E-16,-1.0748E-16,-8.664842744,3.5434791,-11.08556239,38.79657085,0.6771279,-36.64638887,-1.3598E-16,-2.8973E-16,9.314273474,-0.342975078,-3.395356826,-47.94081436,-23.46298872,-10.34728335,102.6276763,71.6773577,3.2059E-16,-2.8971E-16,-33.5006322,-16.04496683,-5.592712796,125.1992343,71.0133972,-2.8362E-16,9.689E-17
0.854,-14.22311312,2.934579251,-9.915946377,1.023077261,1.048118219,-0.328601797,37.15031315,5.134087053,-2.92324317,4.651420513,0.081182603,-25.63302988,2.6138E-16,-1.3353E-16,-8.59243817,3.558012439,-11.15312831,39.38645678,0.687423352,-36.63724786,-1.353E-16,-3.075E-16,9.132090735,-0.396570366,-3.248691239,-47.77243333,-23.46180047,-10.29955772,102.5838492,71.68372486,3.4205E-16,-3.1624E-16,-33.52190946,-16.05069978,-5.555272837,124.9687946,71.00867279,-3.0289E-16,9.771E-17
0.855,-14.07693888,2.995496111,-10.00900456,1.023036125,1.047918704,-0.328541855,36.93762471,5.12433339,-2.863493733,4.64160776,0.081011338,-25.60832727,2.7022E-16,-1.7044E-16,-8.513408587,3.570497756,-11.21679471,39.98342984,0.697842497,-36.62391971,-1.3842E-16,-3.2582E-16,8.949455975,-0.451228779,-3.105471202,-47.60156448,-23.46065686,-10.25034386,102.5393152,71.69004505,3.663E-16,-3.3965E-16,-33.54190532,-16.05791878,-5.517763338,124.7373109,71.00477545,-3.2501E-16,9.418E-17
0.856,-13.93179919,3.056057391,-10.09784929,1.02298751,1.047710757,-0.328487488,36.72493369,5.111159536,-2.80701259,4.633891576,0.080876665,-25.5897045,2.7371E-16,-2.2093E-16,-8.427413979,3.580707517,-11.27653352,40.58756372,0.708386622,-36.60592597,-1.3692E-16,-3.5174E-16,8.766766974,-0.50680885,-2.965934069,-47.42834929,-23.45956597,-10.19962761,102.4940684,71.69631848,3.9156E-16,-3.6001E-16,-33.56062413,-16.06667032,-5.480156471,124.5049137,71.00171242,-3.4767E-16,9.051E-17
0.857,-13.78805109,3.116171863,-10.18223344,1.022931539,1.047493856,-0.328438911,36.51255751,5.094626803,-2.753743083,4.628138573,0.080776256,-25.57742121,2.7407E-16,-2.7304E-16,-8.334106784,3.588408904,-11.33232662,41.19892671,0.719056919,-36.58279235,-1.3475E-16,-3.7006E-16,8.584441029,-0.56315079,-2.830305083,-47.25293124,-23.45854698,-10.14739882,102.4480996,71.70254484,4.1743E-16,-3.7874E-16,-33.57807726,-16.07698742,-5.442424641,124.2717293,70.99948978,-3.7346E-16,8.604E-17
0.857755088,-13.68065525,3.16120891,-10.24285155,1.022884483,1.047323812,-0.328406195,36.35260816,5.07996322,-2.715627343,4.625028247,0.080721971,-25.57249305,2.7708E-16,-3.1186E-16,-8.258591395,3.592417932,-11.37183485,41.6653875,0.727198196,-36.56163391,-1.3782E-16,-3.8279E-16,8.447273331,-0.606091361,-2.730612473,-47.11910349,-23.45784318,-10.10695551,102.4129032,71.70721455,4.3647E-16,-3.9281E-16,-33.5904281,-16.08582743,-5.413834318,124.0952066,70.99837136,-3.9508E-16,8.304E-17
0.858,-13.64606424,3.17574289,-10.26192175,1.022868346,1.047267455,-0.328396334,36.30083382,5.074811313,-2.703652682,4.624240075,0.080708215,-25.57171514,2.7886E-16,-3.2517E-16,-8.233133816,3.593364918,-11.38416479,41.81758045,0.729854464,-36.55405153,-1.3914E-16,-3.8826E-16,8.402912722,-0.620077056,-2.698796285,-47.07545492,-23.45763014,-10.09365163,102.4013963,71.70872317,4.426E-16,-3.974E-16,-33.59428297,-16.08888945,-5.404540466,124.0378784,70.99811239,-4.0167E-16,8.199E-17
0.858498198,-13.5761019,3.20518669,-10.29980021,1.022834216,1.047150942,-0.328377426,36.19570712,5.063741867,-2.679881326,4.622962725,0.080685921,-25.57139938,2.8152E-16,-3.5089E-16,-8.17985758,3.594734842,-11.40851381,42.12853039,0.735281564,-36.53749762,-1.42E-16,-4.008E-16,8.312912572,-0.648595745,-2.63487859,-46.98631347,-23.45722385,-10.06630763,102.3778499,71.71178277,4.5502E-16,-4.0727E-16,-33.60189852,-16.09541282,-5.385601314,123.9211615,70.99774283,-4.1379E-16,7.901E-17
0.858996396,-13.50671913,3.234456981,-10.33643194,1.02279835,1.047031859,-0.328360084,36.09087644,5.051892894,-2.656900732,4.622115499,0.080671134,-25.57281513,2.8297E-16,-3.7769E-16,-8.124545616,3.595333602,-11.43188175,42.4413093,0.740740586,-36.5193828,-1.4652E-16,-4.1671E-16,8.22327874,-0.677185307,-2.572055635,-46.89671494,-23.45685917,-10.03858668,102.3541151,71.71482972,4.6705E-16,-4.1731E-16,-33.60921412,-16.10233041,-5.366614156,123.8043209,70.99758441,-4.2542E-16,7.626E-17
0.859,-13.50621938,3.234668085,-10.33669236,1.022798084,1.047030988,-0.328359964,36.09011919,5.05180436,-2.656737355,4.62211092,0.080671054,-25.57283173,2.8298E-16,-3.779E-16,-8.124137913,3.595335052,-11.43204724,42.4435789,0.740780198,-36.51924592,-1.4655E-16,-4.1683E-16,8.222631721,-0.677392345,-2.571605161,-46.89606508,-23.4568567,-10.03838475,102.3539427,71.71485171,4.6713E-16,-4.1739E-16,-33.60926596,-16.10238189,-5.366476602,123.8034751,70.99758403,-4.2551E-16,7.625E-17
0.859357556,-13.45681096,3.255560018,-10.3621934,1.022771276,1.046943884,-0.328348505,36.01509262,5.042823278,-2.640736225,4.621766995,0.080665051,-25.57492895,2.8433E-16,-3.9743E-16,-8.083150167,3.595268591,-11.44820879,42.66919983,0.744718026,-36.50524367,-1.5055E-16,-4.3026E-16,8.158561699,-0.697940295,-2.527210402,-46.83148632,-23.45662449,-10.01825542,102.3367898,71.71703045,4.7551E-16,-4.2499E-16,-33.61433218,-16.10759106,-5.352817828,123.7195494,70.9976017,-4.3411E-16,7.478E-17
0.859715112,-13.40774399,3.276350844,-10.38702979,1.022743593,1.046855391,-0.328337874,35.94026035,5.0334527,-2.625141843,4.621641656,0.080662864,-25.5779065,2.8569E-16,-4.1563E-16,-8.041074631,3.594778573,-11.46386552,42.89576725,0.748672374,-36.49038916,-1.5436E-16,-4.4418E-16,8.094731512,-0.718501282,-2.483399106,-46.76668803,-23.45641975,-9.997932489,102.3195379,71.71920235,4.8404E-16,-4.3286E-16,-33.61924771,-16.11300199,-5.339131426,123.6355717,70.99772819,-4.4255E-16,7.327E-17
0.86,-13.36890561,3.292840487,-10.40633688,1.022720916,1.046783869,-0.328330003,35.88078755,5.025711389,-2.613008715,4.621697632,0.080663841,-25.58090957,2.8604E-16,-4.3017E-16,-8.006760743,3.594077585,-11.47597923,43.07696692,0.751834904,-36.47793042,-1.5708E-16,-4.5501E-16,8.044059893,-0.734886029,-2.448914528,-46.71490624,-23.45627815,-9.981601556,102.3057205,71.72092785,4.9092E-16,-4.394E-16,-33.62305753,-16.117457,-5.328205978,123.5686268,70.99790688,-4.4931E-16,7.192E-17
0.860257888,-13.33395274,3.307706806,-10.42344194,1.022699917,1.046718339,-0.328323339,35.82707494,5.018496077,-2.602252052,4.621865646,0.080666773,-25.58413326,2.855E-16,-4.4384E-16,-7.975087407,3.593200203,-11.48666923,43.24151325,0.75470678,-36.46616687,-1.5958E-16,-4.6526E-16,7.998342945,-0.749714665,-2.418024797,-46.66791812,-23.45616783,-9.966712787,102.2931575,71.72248589,4.9724E-16,-4.4546E-16,-33.62642537,-16.12159914,-5.3182996,123.5080024,70.99812834,-4.5541E-16,7.066E-17
0.860515776,-13.29920168,3.322513149,-10.44019052,1.022678472,1.046652051,-0.328317118,35.77348703,5.011086095,-2.591716045,4.622142643,0.080671608,-25.58787553,2.844E-16,-4.5722E-16,-7.942826376,3.592087325,-11.49709812,43.406554,0.757587284,-36.45393451,-1.6221E-16,-4.7547E-16,7.952779361,-0.764535366,-2.387447821,-46.62082418,-23.45607587,-9.951723945,102.2805413,71.72404012,5.0367E-16,-4.5162E-16,-33.6297169,-16.12584436,-5.308377063,123.4473561,70.99840669,-4.6142E-16,6.926E-17
0.860773664,-13.26465952,3.337257188,-10.45657989,1.022656585,1.046584994,-0.328311343,35.72003078,5.003484026,-2.581405252,4.622526675,0.08067831,-25.59216729,2.8275E-16,-4.6894E-16,-7.909971331,3.590734439,-11.50726661,43.57208964,0.760476426,-36.44122626,-1.6482E-16,-4.846E-16,7.907377475,-0.779343505,-2.357185919,-46.57362674,-23.4560036,-9.936635289,102.2678715,71.72559042,5.1016E-16,-4.5784E-16,-33.6329327,-16.13019188,-5.29843781,123.3866894,70.99874207,-4.6739E-16,6.775E-17
0.861,-13.23452112,3.350144407,-10.4706656,1.022637014,1.046525501,-0.328306643,35.67322886,4.996655588,-2.572541879,4.62295221,0.080685737,-25.59638342,2.8122E-16,-4.7914E-16,-7.880641863,3.589346084,-11.51597658,43.71778007,0.763019204,-36.42967517,-1.6689E-16,-4.9276E-16,7.867670224,-0.792326312,-2.330888234,-46.53212057,-23.45595735,-9.923310663,102.2567073,71.72694776,5.1597E-16,-4.6342E-16,-33.63569325,-16.13409133,-5.289700496,123.3334297,70.99908338,-4.7276E-16,6.632E-17
0.861188422,-13.20956113,3.360834466,-10.48217711,1.022620466,1.04647551,-0.328302996,35.63435159,4.99086031,-2.565292428,4.623371789,0.08069306,-25.60018127,2.8031E-16,-4.8741E-16,-7.855870128,3.588045234,-11.52307432,43.83935673,0.765141117,-36.41977185,-1.6847E-16,-4.9923E-16,7.834718111,-0.803123085,-2.309183871,-46.49750907,-23.4559316,-9.912159635,102.2473815,71.72807535,5.2083E-16,-4.6807E-16,-33.63794784,-16.13739726,-5.282416569,123.2890815,70.99940084,-4.7731E-16,6.507E-17
0.861376843,-13.18472167,3.371489331,-10.49349187,1.022603687,1.046425092,-0.328299592,35.5955543,4.984965023,-2.558154497,4.62385451,0.080701485,-25.60418639,2.7945E-16,-4.9517E-16,-7.83077344,3.586611471,-11.53003231,43.96119785,0.767267646,-36.40960478,-1.6997E-16,-5.0545E-16,7.801863487,-0.813908704,-2.287651867,-46.46284596,-23.45591779,-9.900955589,102.2380268,71.72920079,5.2583E-16,-4.7274E-16,-33.64016345,-16.14075745,-5.275123322,123.2447251,70.99974833,-4.8189E-16,6.379E-17
0.861565265,-13.16000506,3.382108781,-10.50460825,1.022586679,1.046374243,-0.328296431,35.55683975,4.978970223,-2.551121793,4.624404454,0.080711084,-25.60834046,2.7867E-16,-5.0296E-16,-7.805349851,3.585043829,-11.53684996,44.08330335,0.769398789,-36.39917134,-1.7148E-16,-5.1223E-16,7.769109398,-0.824682395,-2.266293567,-46.42813234,-23.45591624,-9.889698595,102.2286434,71.73032405,5.3085E-16,-4.7747E-16,-33.64234065,-16.14417197,-5.267820738,123.2003616,71.00012557,-4.8651E-16,6.254E-17
0.861753687,-13.13541376,3.392692361,-10.51552483,1.022569446,1.046322957,-0.328293514,35.51821074,4.972876607,-2.544190687,4.625024203,0.0807219,-25.61260785,2.7808E-16,-5.1088E-16,-7.779597245,3.583341094,-11.54352697,44.20567323,0.771534546,-36.38846889,-1.7317E-16,-5.192E-16,7.736458968,-0.835443015,-2.245110133,-46.39336927,-23.45592734,-9.878388743,102.2192313,71.73144513,5.359E-16,-4.8219E-16,-33.64447993,-16.14764072,-5.260508737,123.1559918,71.00053238,-4.9123E-16,6.132E-17
0.861942108,-13.11095059,3.403239069,-10.52624073,1.022551987,1.046271231,-0.328290844,35.47967006,4.966685326,-2.537363846,4.625712765,0.080733918,-25.61700687,2.7758E-16,-5.1917E-16,-7.753513141,3.581501461,-11.5500637,44.32830762,0.77367492,-36.37749481,-1.7484E-16,-5.2635E-16,7.703915498,-0.846188568,-2.224102302,-46.35855761,-23.4559517,-9.867026172,102.2097901,71.73256397,5.409E-16,-4.8691E-16,-33.64658152,-16.15116328,-5.253187081,123.111616,71.00096883,-4.9601E-16,6.019E-17
0.862,-13.10346063,3.406471838,-10.52949279,1.022546578,1.046255249,-0.328290073,35.46784679,4.964763731,-2.535288816,4.625937346,0.080737838,-25.61839739,2.7744E-16,-5.2176E-16,-7.7454319,3.580908363,-11.55204409,44.36603962,0.774333467,-36.37406812,-1.7532E-16,-5.2858E-16,7.69393869,-0.849486601,-2.217683046,-46.34785223,-23.45596197,-9.863524518,102.2068835,71.73290726,5.4242E-16,-4.8836E-16,-33.64721964,-16.15225624,-5.250935533,123.0979806,71.00110894,-4.9747E-16,5.987E-17
0.862133764,-13.08620237,3.413927186,-10.5369345,1.022533998,1.046218162,-0.328288382,35.44056131,4.960289377,-2.530538454,4.626477603,0.080747267,-25.62171235,2.7716E-16,-5.2788E-16,-7.726638154,3.579487117,-11.55657003,44.45331866,0.775856774,-36.36605102,-1.7641E-16,-5.3377E-16,7.670926796,-0.857099849,-2.202914185,-46.32309921,-23.45599099,-9.855414698,102.2001566,71.73369962,5.4595E-16,-4.9172E-16,-33.64868042,-16.15480055,-5.245729381,123.0664723,71.00144361,-5.0084E-16,5.915E-17
0.862267528,-13.06901209,3.421362067,-10.54427501,1.022521304,1.046180851,-0.328286816,35.41332309,4.955767522,-2.525854125,4.627045023,0.08075717,-25.62520986,2.7697E-16,-5.3399E-16,-7.70767427,3.577994137,-11.56102667,44.54073128,0.777382412,-36.35789444,-1.7742E-16,-5.3916E-16,7.647972418,-0.864702077,-2.188233882,-46.29832232,-23.4560277,-9.847278558,102.1934144,71.73449074,5.4948E-16,-4.9512E-16,-33.65012203,-16.15737091,-5.24051786,123.0349606,71.00179371,-5.0425E-16,5.844E-17
0.862401293,-13.05189098,3.428775792,-10.55151435,1.022508496,1.046143316,-0.328285376,35.38613302,4.95119873,-2.52124117,4.627636506,0.080767494,-25.62893772,2.7699E-16,-5.3988E-16,-7.688539182,3.576428451,-11.56541451,44.62827756,0.778910383,-36.34959755,-1.7835E-16,-5.4455E-16,7.625076825,-0.872292019,-2.173642126,-46.27352176,-23.45607249,-9.839116204,102.1866567,71.73528057,5.5302E-16,-4.9852E-16,-33.65154443,-16.15996691,-5.235300776,123.0034454,71.00215942,-5.0773E-16,5.773E-17
